complaint_text,category,priority
"Follow-up complaint: trucks reversing on Ward D road without helper, hit a scooter yesterday",Traffic,High
"Open sewer at near grain market during Eid / Diwali festival time, health risk for gathering crowds",Drainage,High
Garbage collected from near primary school but dumped near primary school park instead of depot,Sanitation,Medium
Pipe connection outside Sector 7 building dug up but not restored for 3 weeks,Water,Medium
Gravel accumulated on near fire station road causing slipping risk for bikes,Roads,Medium
Burning tyres near community hall causing black smoke pollution,Waste Management,High
"Storm drain grill broken near bank, debris clogging drain inside",Drainage,Medium
Illegal firecrackers being sold near Sector 12 school,Public Safety,Medium
Water board complaint number not responding for issue at Ward E,Water,Medium
"Streetlight at near new colony glowing orange instead of white, likely failing",Electrical,Medium
Pipe connection outside near toll plaza building dug up but not restored for 2 weeks,Water,Medium
"Follow-up complaint: trucks reversing on near flyover road without helper, hit a scooter yesterday",Traffic,High
Complaint from resident: cOVID waste disposal not happening at isolation centre near toll plaza,Sanitation,Critical
Water supplied only on alternate days in near water tank although daily supply promised,Water,Medium
No awareness about bio-medical waste in near municipal school area near clinic,Waste Management,Medium
Public toilet near Ward A bus stand overflowing and non-functional,Sanitation,High
Wet market waste near toll plaza lying for 14 days attracting stray animals,Waste Management,High
Water tanker not arriving on scheduled days in near municipal office ward this week,Water,Medium
Dark lane near Ward B unsafe for women after evening hours,Public Safety,Medium
Rainwater outlet near railway station blocked by plastic waste for 10 weeks,Drainage,High
"Unresolved problem: waste compost site near municipal school not maintained, rotting smell affecting residents",Waste Management,Medium
Complaint from resident: electric supply failure near primary school for 3 hours during examinations,Electrical,High
Repeated complaint about heavy rain caused traffic chaos at near old age home due to waterlogging on road,Traffic,High
"Citizens request action on: municipal water pressure test needed at near slum area, residents getting almost no flow",Water,High
Waste segregation rules not followed at near fire station transfer station,Waste Management,High
Multiple large potholes on near metro station main road causing daily vehicle damage,Roads,High
"Metering box door missing near Ward A road, rain entering daily",Electrical,Medium
Repeated complaint about local shop dumping polythene bags near new colony drain daily,Waste Management,Medium
Anti-social elements gambling openly near sewage treatment plant temple road at night,Public Safety,Medium
Awareness drive needed for waste segregation in Ward A ward,Waste Management,Low
Drain cleaning vehicle requested for near housing society area before upcoming monsoon,Drainage,Medium
Rag pickers leaving scattered waste near railway station after sorting through bins,Sanitation,Medium
Street vendor harassing women near Ward A bus stand daily,Public Safety,Medium
Request to shift electric pole obstructing new driveway near Sector 12,Electrical,Low
"Local resident complaint: dead animals thrown in drain near garbage depot, immediate removal needed",Sanitation,High
"Woman felt followed near sewage treatment plant late at night, no patrol visible",Public Safety,High
"Child missing near Ward C park for over 6 hours, public alert needed",Public Safety,Critical
Heavy rain caused traffic chaos at near stadium due to waterlogging on road,Traffic,High
Unresolved problem: rag pickers leaving scattered waste near sports complex after sorting through bins,Sanitation,Medium
"Ongoing problem since days: trees grown into electric lines near metro station, trimming needed urgently",Electrical,Medium
Leaking underground pipe near primary school making road surface soft and sinking,Water,High
Municipal water tanker not deployed despite 48-hour outage in near post office ward,Water,High
Repeated complaint about household garbage bags left on road at near railway station not being picked up for 2 days,Waste Management,High
Household garbage bags left on road at near college not being picked up for 6 days,Waste Management,High
"Urgent issue reported: electric junction box near community hall submerged in rainwater, risk of electrocution",Electrical,Critical
Demolition rubble blocking entire footpath near Sector 12 for over a week,Waste Management,High
"Complaint from resident: water supply has been absent at Ward D for 7 days, families buying expensive tankers",Water,High
School van almost hit due to blind turn near college without any mirror,Traffic,High
Drain cleaning vehicle requested for near old age home area before upcoming monsoon,Drainage,Medium
Demolition rubble blocking entire footpath near toll plaza for over a week,Waste Management,High
Rainwater outlet near railway station blocked by plastic waste for 4 weeks,Drainage,High
Speed breaker on near fire station road near school completely broken and dangerous,Roads,High
Rainwater outlet near Ward H blocked by plastic waste for 6 weeks,Drainage,High
Uneven road surface near Sector 2 bus stand causing two-wheeler skids,Roads,Medium
"Streetlight at near river bridge glowing orange instead of white, likely failing",Electrical,Medium
"Unresolved problem: underground cable at near metro station damaged during road digging, supply affected",Electrical,High
Recyclables not separated at near railway station collection point,Waste Management,Medium
"Meter room flooded in Ward H society building, electrical safety risk",Electrical,High
New housing colony at school area has no water connection despite full occupancy,Water,Medium
"Road gutter work left open near railway station, no barricades or lights at night",Roads,High
Rainwater outlet near school area blocked by plastic waste for 2 weeks,Drainage,High
Drain gradient wrong near highway road causing water to flow backward onto road,Drainage,Medium
Sanitation worker complaint: not provided gloves or safety equipment at near main market,Sanitation,Medium
Electrical cabinet door open with live wires exposed near petrol pump bus stand,Electrical,Critical
Rodents and flies spreading from massive garbage pile near housing society maternity ward,Sanitation,Critical
Open electrical panel near overbridge play area accessible to children,Public Safety,Critical
Unresolved problem: burning tyres near Sector 12 causing black smoke pollution,Waste Management,High
"Bridge surface near Sector 4 developed cracks, heavy vehicles still using it",Roads,Critical
"Bridge surface near garbage depot developed cracks, heavy vehicles still using it",Roads,Critical
"Ongoing problem since days: open sewer at near river bridge during Eid / Diwali festival time, health risk for gathering crowds",Drainage,High
School van almost hit due to blind turn near railway station without any mirror,Traffic,High
"Critical issue: drain repair work near railway station completed poorly, same problem recurring every rain",Drainage,Medium
Sudden bridge closure near highway road causing gridlock on all alternate routes,Traffic,Critical
Street cleaning skipped near primary school market area since last week,Sanitation,Medium
Broken road divider at near civil hospital enabling dangerous wrong-way driving,Traffic,High
"Traffic signal malfunctioning at Ward A junction for 2 days, accidents occurring",Traffic,High
Electric meter reading not conducted in near community hall ward for 2 months,Electrical,Medium
Electric meter board catching fire near new colony residential building,Electrical,High
Sanitation schedule not followed in near highway road ward this week,Sanitation,Medium
"Sanitation worker arriving slightly late in near fire station lane, minor issue",Sanitation,Low
Dust from near river bridge road construction causing minor inconvenience to residents,Roads,Low
Complaint from resident: heavy rain caused traffic chaos at near housing society due to waterlogging on road,Traffic,High
"Road near public garden hospital severely broken, hindering ambulance movement",Roads,High
School van almost hit due to blind turn near petrol pump without any mirror,Traffic,High
Urgent issue reported: anti-social elements gambling openly near Sector 9 temple road at night,Public Safety,Medium
Suspicious unattended bag found near vegetable market bus terminal,Public Safety,Critical
Electric wire touching tree in near post office area causing minor sparking at night,Electrical,Medium
"Complaint from resident: electric junction box near police station submerged in rainwater, risk of electrocution",Electrical,Critical
Youth vandalising public property near bus stand park on weekends,Public Safety,Medium
Municipal cleaner reported absent for 7 days in Ward C zone,Sanitation,High
Youth vandalising public property near vegetable market park on weekends,Public Safety,Medium
COVID waste disposal not happening at isolation centre near police station,Sanitation,Critical
Demolition rubble blocking entire footpath near main market for over a week,Waste Management,High
Electric meter board catching fire near garbage depot residential building,Electrical,High
"Urgent issue reported: zebra crossing near stadium completely faded, pedestrians confused",Traffic,Low
Sanitation schedule not followed in Ward B ward this week,Sanitation,Medium
"Drunk driving incident near bank last night, no police present",Public Safety,High
"Water supply has been absent at near railway station for 7 days, families buying expensive tankers",Water,High
Water supply delayed by about 30 minutes compared to usual timing at school area,Water,Low
Urgent issue reported: local shop dumping polythene bags near Sector 4 drain daily,Waste Management,Medium
Broken electric insulator on pole near children's park sparking during rainfall,Electrical,High
Suspicious unattended bag found near sewage treatment plant bus terminal,Public Safety,Critical
"Drain cover missing at near temple road crossing, two-wheeler already fell in last evening",Drainage,High
"Road cave-in near children's park expanding every day, needs immediate patching",Roads,High
All streetlights on near post office road non-functional for 5 consecutive nights,Electrical,High
"Manhole overflowing with sewage at Ward H residential area, children playing nearby",Drainage,Critical
School van almost hit due to blind turn near slum area without any mirror,Traffic,High
"Burning garbage near cremation ground hospital producing toxic smoke, patients at risk",Waste Management,Critical
"Road blocked at near civil hospital due to large protest, ambulances completely unable to pass",Traffic,Critical
"School van damaged due to pothole near river bridge, parents upset and worried",Roads,Medium
Electric supply failure near Ward A for 7 hours during examinations,Electrical,High
Speed breaker missing warning sign at near public garden stretch,Roads,Medium
"Drainage pipeline burst near municipal school market, sewage running through entire street",Drainage,Critical
Tilting electric pole near college hospital about to fall on road,Electrical,Critical
Garbage van not collecting from near flyover lane despite repeated complaints,Sanitation,High
"Drunk driving incident near river bridge last night, no police present",Public Safety,High
COVID waste disposal not happening at isolation centre near vegetable market,Sanitation,Critical
"Road cave-in near toll plaza expanding every day, needs immediate patching",Roads,High
Cracked footpath near Ward G obstructing pedestrian movement,Roads,Medium
Anti-social elements gambling openly near civil hospital temple road at night,Public Safety,Medium
Complaint from resident: garbage collected from Ward F but dumped near Ward F park instead of depot,Sanitation,Medium
